examine,id,members,lowalch,limit,value,highalch,icon,name,high,highTime,low,lowTime
Fabulously ancient mage protection enchanted in the 3rd Age.,10344,True,20200.0,8.0,50500.0,30300.0,3rd Age amulet.png,3rd Age amulet,43499999.0,1789642654.0,42250033.0,1789586366.0
"A beautifully crafted axe, shaped by ancient smiths.",20011,True,22000.0,40.0,55000.0,33000.0,3rd Age axe.png,3rd Age axe,2147483647.0,1784723991.0,2147483647.0,1784266838.0
A beautifully crafted bow carved by ancient archers.,12424,True,60000.0,8.0,150000.0,90000.0,3rd Age bow.png,3rd Age bow,1048000000.0,1789575423.0,1026555000.0,1789652578.0
A beautiful cloak woven by ancient tailors.,12437,True,34000.0,8.0,85000.0,51000.0,3rd Age cloak.png,3rd Age cloak,280000000.0,1789625166.0,275000001.0,1789599324.0
A fabulously ancient vine cloak as worn by the druids of old.,23345,True,80000.0,8.0,200000.0,120000.0,3rd Age druidic cloak.png,3rd Age druidic cloak,780000000.0,1789435479.0,757505000.0,1789432835.0
A fabulously ancient woven robe as worn by the druids of old.,23339,True,80000.0,4.0,200000.0,120000.0,3rd Age druidic robe bottoms.png,3rd Age druidic robe bottoms,1699999999.0,1789587388.0,1700000000.0,1789543628.0
A fabulously ancient woven robe top as worn by the druids of old.,23336,True,80000.0,4.0,200000.0,120000.0,3rd Age druidic robe top.png,3rd Age druidic robe top,2147483647.0,1713538969.0,2147483647.0,1783642026.0
A fabulously ancient gnarled staff as used by the druids of old.,23342,True,80000.0,8.0,200000.0,120000.0,3rd Age druidic staff.png,3rd Age druidic staff,501500000.0,1789638482.0,466666666.0,1789475031.0
"A beautifully crafted axe, shaped by ancient smiths.",28226,True,22000.0,,55000.0,33000.0,3rd Age felling axe.png,3rd Age felling axe,2077777777.0,1789366426.0,1937699420.0,1789605381.0
Fabulously ancient armour beaten from magical silver.,10350,True,36000.0,8.0,90000.0,54000.0,3rd Age full helmet.png,3rd Age full helmet,28500000.0,1789624319.0,27324749.0,1789625253.0
Fabulously ancient armour beaten from magical silver.,10352,True,72000.0,8.0,180000.0,108000.0,3rd Age kiteshield.png,3rd Age kiteshield,70987320.0,1789638524.0,69350000.0,1789629464.0
A beautifully crafted sword forged by ancient blacksmiths.,12426,True,60000.0,8.0,150000.0,90000.0,3rd Age longsword.png,3rd Age longsword,926999997.0,1789638623.0,1000000000.0,1789588199.0
Fabulously ancient mage protection enchanted in the 3rd Age.,10342,True,20160.0,8.0,50400.0,30240.0,3rd Age mage hat.png,3rd Age mage hat,16757549.0,1789650336.0,15900420.0,1789625265.0
"A beautifully crafted pickaxe, shaped by ancient smiths.",20014,True,39180.0,40.0,97950.0,58770.0,3rd Age pickaxe.png,3rd Age pickaxe,2147483647.0,1782328247.0,2147483647.0,1770017403.0
Fabulously ancient armour beaten from magical silver.,10348,True,80000.0,8.0,200000.0,120000.0,3rd Age platebody.png,3rd Age platebody,138177434.0,1789628798.0,140000000.0,1789654351.0
Fabulously ancient armour beaten from magical silver.,10346,True,80000.0,8.0,200000.0,120000.0,3rd Age platelegs.png,3rd Age platelegs,73700000.0,1789654300.0,73333333.0,1789625259.0
Fabulously ancient armour beaten from magical silver.,23242,True,80000.0,8.0,200000.0,120000.0,3rd Age plateskirt.png,3rd Age plateskirt,30363223.0,1789618873.0,28076999.0,1789622415.0
Fabulously ancient range protection crafted from white dragonhide.,10334,True,20160.0,8.0,50400.0,30240.0,3rd Age range coif.png,3rd Age range coif,15856242.0,1789609615.0,15120000.0,1789652077.0
