name,xp,buy_price,gp_per_xp,cost_to_99,hours_to_99,days_buying,hourly_volume,price_age_hrs,limit,on_frontier
Superior dragon bones,150.0,20332.0,135.54666666666665,504792478.2704762,9.73626965452848,0.5517219470899472,6818.0,0.06145977611111111,7500.0,True
Ourg bones,140.0,41232.0,294.51428571428573,1096807467.3306122,10.431717486994799,0.5911306575963718,15.0,0.8314597761111111,7500.0,False
Dagannoth bones,125.0,12833.0,102.664,382333378.3382857,11.683523585434173,0.6620663365079366,4673.0,0.23757088722222222,7500.0,True
Hydra bones,110.0,8481.0,77.1,287129894.31428576,13.27673134708429,0.7523481096681097,2038.0,0.6892375538888889,7500.0,True
Frost dragon bones,100.0,6883.0,68.83,256331395.92285717,14.604404481792718,0.8275829206349207,3205.0,0.2845153316666667,7500.0,True
Raurg bones,96.0,7307.0,76.11458333333333,283460081.3005953,15.212921335200749,0.8620655423280423,0.0,11.491181998333333,7500.0,False
Lava dragon bones,85.0,5542.0,65.2,242812828.91428572,17.181652331520844,0.9736269654528479,118.0,0.044237553888888885,7500.0,True
Fayrg bones,84.0,5036.0,59.95238095238095,223270049.37414965,17.386195811658,0.9852177626606199,0.0,11.485348665,7500.0,True
Drake bones,80.0,4852.0,60.65,225868068.6142857,18.2555056022409,1.0344786507936508,401.0,2.6617375538888886,7500.0,False
Dragon bones,72.0,3677.0,51.06944444444444,190188899.9484127,20.283895113600995,1.1494207231040565,46073.0,0.04118199833333333,7500.0,True
Wyvern bones,72.0,3687.0,51.208333333333336,190706139.27380952,20.283895113600995,1.1494207231040565,930.0,0.5514597761111111,7500.0,False
Strykewyrm bones,60.0,2670.0,44.5,165723479.85714284,24.340674136321194,,195.0,1.1172931094444445,,True
Wyrm bones,50.0,2189.0,43.78,163042111.19428572,29.208808963585437,1.6551658412698413,3698.0,0.3206264427777778,7500.0,True
Babydragon bones,30.0,948.0,31.6,117682291.31428571,48.68134827264239,6.896524338624339,1457.0,0.5722931094444444,3000.0,True
Shaikahan bones,25.0,4988.0,199.52,743037049.4628572,58.41761792717087,3.3103316825396827,0.0,19.237848664999998,7500.0,False
Zogre bones,22.5,905.0,40.22222222222222,149792508.63492063,64.90846436352318,9.195365784832452,11.0,1.1784042205555556,3000.0,False
Big bones,15.0,297.0,19.8,73737638.22857143,97.36269654528478,13.793048677248677,6637.0,0.04951533166666666,3000.0,True
Jogre bones,15.0,989.0,65.93333333333334,245543852.55238095,97.36269654528478,13.793048677248677,9.0,0.05812644277777777,3000.0,False
Bat bones,5.3,561.0,105.84905660377359,394194921.3477089,275.5548015432588,39.03693021862833,16.0,0.05368199833333333,3000.0,False
Monkey bones,5.0,273.0,54.6,203337123.6,292.0880896358544,41.37914603174603,8.0,0.09451533166666667,3000.0,False
Bones,4.5,37.0,8.222222222222221,30620568.063492063,324.5423218176159,45.976828924162255,15560.0,0.038126442777777776,3000.0,True
